Ruas Jalan Tol,Gerbang Masuk,Gerbang Keluar,Golongan Kendaraan,Tarif Tol
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan I,"109,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan II,"163,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan III,"163,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan IV,"217,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan V,"217,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Terbanggi Besar,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan I,"3,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan II,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan III,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan IV,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan V,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Pelabuhan Bakauheni,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Lambu Kibang,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Way Kenanga,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Simpang Pematang,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Kayu Agung,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,SS Gunung Batin,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan I,"3,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan II,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan III,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan IV,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan V,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Selatan,Golongan VI,TARIF TIDAK DITEMUKAN
